X;Y;OBJECTID;id;airport_ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;description;frequency_mhz;runway_length_ft;runway_width_ft;runway_surface;runway_lighted;runway_closed
-130.116.153.055;42.121.940.021;1;6528;00CA;small_airport;Goldstone (GTS) Airport;3038;NA;US;US-CA;Barstow;no;00CA;;00CA;CTAF;122.9;6000;80;ASPH;0;0
-90.346.011.039;33.479.160.217;2;6589;01FL;small_airport;Cedar Knoll Flying Ranch Airport;19;NA;US;US-FL;Geneva;no;01FL;;01FL;;122.9;3000;50;TURF;1;0
-130.995.214.131;41.047.736.945;3;6756;04CA;small_airport;Gray Butte Field;3020;NA;US;US-CA;Palmdale;no;KGXA;;04CA;CTAF;122.9;5000;150;ASPH;0;0
-101.118.932.969;38.874.139.018;4;6779;04MS;small_airport;Nick's Flying Service Inc Airport;100;NA;US;US-MS;Rolling Fork;no;04MS;;04MS;UNICOM;122.8;3400;100;ASPH-TURF;0;0
-128.757.690.046;42.670.306.017;5;6784;04NV;small_airport;Kingston Ranch Airport;2620;NA;US;US-NV;Sandy Valley;no;04NV;;04NV;UNICOM;123;3240;45;ASPH;1;0
-136.245.036.685;46.660.599.263;6;6812;05CL;small_airport;Pope Valley Airport;618;NA;US;US-CA;Pope Valley;no;05CL;;05CL;CTAF;122.9;3700;60;ASPH-G;1;0
-122.802.962.334;4.443.794.855;7;6853;05UT;closed;Oljato Airport;4838;NA;US;US-UT;Oljato-Monument Valley;no;;;;UNICOM;122.8;3950;50;ASPH-P;0;0
-8942172.6;31.120.321.412;8;6868;06FA;small_airport;William P Gwinn Airport;28;NA;US;US-FL;Jupiter;no;06FA;;06FA;PALM BEACH APP;124.6;7003;150;ASPH;1;0
-105.535.772.639;47.547.568.554;9;6887;06MO;small_airport;Noahs Ark Airport;755;NA;US;US-MO;Waldron;no;06MO;;06MO;CTAF;122.9;3000;30;ASPH;1;0
-89.361.502.115;29.157.658.414;10;6924;07FA;small_airport;Ocean Reef Club Airport;8;NA;US;US-FL;Key Largo;no;07FA;OCA;07FA;UNICOM;122.7;4500;70;ASPH;1;0
-118.586.427.016;6.177.199.094;11;6943;07MT;small_airport;Glasgow Industrial Airport;2762;NA;US;US-MT;Glasgow;no;07MT;;07MT;SALT LAKE CITY CNTR;126.85;13500;300;CONC-G;1;0
-108.550.754.783;32.138.561.499;12;6954;07TE;small_airport;Cuddihy Field;39;NA;US;US-TX;Corpus Christi;no;07TE;;07TE;HOUSTON CNTR;126.625;5000;100;ASPH;0;0
-10.991.959.365;35.003.792.675;13;7008;08TE;closed;B J McCombs Sisterdale Airport;1447;NA;US;US-TX;Comfort;no;;;;UNICOM;122.8;3100;50;ASPH;0;0
-134.760.035.087;4.737.985.587;14;7019;09CL;small_airport;Alta Sierra Airport;2275;NA;US;US-CA;Grass Valley;no;09CL;;09CL;CTAF;122.9;3000;50;ASPH-F;0;0
-9.062.864.969;31.541.898.439;15;7021;09FA;small_airport;Placid Lakes Airport;130;NA;US;US-FL;Lake Placid;no;09FA;;09FA;UNICOM;122.8;4800;50;ASPH-E;1;0
-114.842.753.697;34.371.893.104;16;7054;09TS;small_airport;Pitcock Rosillos Mountain Ranch Airport;3100;NA;US;US-TX;Marathon;no;09TS;;09TS;ALBUQUERQUE CNTR;132.65;4200;42;ASPH;0;0
-126.504.165.084;39.990.538.925;17;7094;0AZ2;small_airport;Western Sky Airport;1930;NA;US;US-AZ;Salome;no;0AZ2;;0AZ2;UNICOM;122.95;1500;100;GRVL;0;0
-98.744.172.816;51.267.230.224;18;7102;0C2;small_airport;Hinckley Airport;760;NA;US;US-IL;Hinckley;no;0C2;;0C2;;122.9;2640;100;TURF-G;0;0
-133.959.713.396;4.244.734.561;19;7116;0CA9;small_airport;Blech Ranch Airport;1140;NA;US;US-CA;Shandon;no;0CA9;;0CA9;CTAF;122.9;3300;60;ASPH;0;0
-126.651.527.182;5.534.240.018;20;7213;0ID2;small_airport;Flying Joseph Ranch Airport;5600;NA;US;US-ID;May;no;0ID2;;0ID2;SALT LAKE CITY CNTR;128.35;6507;75;ASPH;0;0
-107.106.273.302;36.432.729.278;21;7542;0TE4;small_airport;Hilltop Lakes Airport;501;NA;US;US-TX;Hilltop Lakes;no;0TE4;;0TE4;CTAF/UNICOM;122.8;3000;40;ASPH;0;0
-11041323.64;31.777.746.244;22;7543;0TE5;small_airport;Santa Maria Ranch Airport;516;NA;US;US-TX;Laredo;no;0TE5;;0TE5;HOUSTON CNTR;126.625;5992;77;ASPH;0;0
-10.978.606.209;35.359.576.909;23;7545;0TE7;small_airport;LBJ Ranch Airport;1515;NA;US;US-TX;Johnson City;no;0TE7;JCY;0TE7;UNICOM;122.8;6291;60;ASPH;0;0
-108.732.676.296;3.809.779.908;24;7569;0TX1;small_airport;Pecan Plantation Airport;710;NA;US;US-TX;Granbury;no;0TX1;;0TX1;UNICOM;123.05;3500;50;ASPH;1;0
-95.768.717.108;4.770.736.245;25;7712;11II;small_airport;Atterbury Field (Camp Atterbury);710;NA;US;US-IN;Nineveh;no;11II;;11II;INDIANAPOLIS CNTR;134.85;4220;72;ASPH;0;0
-84.991.350.308;41.492.274.799;26;7781;12NC;small_airport;Atlantic Field Marine Corps Outlying Field;20;NA;US;US-NC;Atlantic;no;12NC;;12NC;CHERRY POINT APP;119.75;3575;150;ASPH;0;0
-108.484.296.909;42.376.874.156;27;7789;12OK;closed;Expressway Airpark;1070;NA;US;US-OK;Oklahoma City;no;;;;UNICOM;123;3350;50;ASPH-P;1;0
-86.000.924.582;4.167.279.879;28;7838;13NC;small_airport;Oak Grove Marine Corps Outlying Field;27;NA;US;US-NC;Pollocksville;no;13NC;;13NC;CHERRY POINT APP;119.35;4000;150;ASPH;0;0
-86.328.268.508;40.983.951.327;29;7898;14NC;small_airport;Camp Davis Mcolf Airport;60;NA;US;US-NC;Holly Ridge;no;14NC;;14NC;CHERRY POINT APP;119.35;5000;150;CONC;0;0
-109.766.027.096;31.762.570.469;30;7917;14TS;small_airport;O S Wyatt Airport;532;NA;US;US-TX;Realitos;no;14TS;;14TS;HOUSTON CNTR;126.625;6044;70;ASPH;0;0
-100.794.563.558;41.404.471.778;31;7928;15AR;small_airport;Taylor Airport;220;NA;US;US-AR;Brickeys;no;15AR;;15AR;RDO CTL;122.725;2500;120;ASPH-TURF;1;0
-9.202.542.967;35.229.207.352;32;7934;15FL;small_airport;Cannon Creek Airpark;125;NA;US;US-FL;Lake City;no;15FL;;15FL;UNICOM;123;2292;50;TURF;0;0
-108.379.433.924;39.060.204.335;33;8028;16X;small_airport;Propwash Airport;800;NA;US;US-TX;Justin;no;16X;;16X;FORT WORTH CNTR;127.45;3000;60;ASPH-F;1;0
-124.564.647.823;40.044.617.932;34;8082;18AZ;small_airport;Sky Ranch At Carefree Airport;2568;NA;US;US-AZ;Carefree;no;18AZ;;18AZ;UNICOM;122.975;4037;50;ASPH;1;0
-111.034.176.846;35.210.818.851;35;8117;18TA;small_airport;West Kerr Ranch Airport;2330;NA;US;US-TX;Junction;no;18TA;;18TA;HOUSTON CNTR;126.625;4500;48;ASPH;0;0
-105.824.653.648;38.403.749.117;36;8118;18TE;small_airport;Alert Field;390;NA;US;US-TX;Big Sandy;no;18TE;;18TE;UNICOM;122.8;5093;40;ASPH-G;1;0
-124.977.275.779;39.101.662.532;37;8205;1AZ0;small_airport;Bishop Airfield;1261;NA;US;US-AZ;Mobile;no;1AZ0;;1AZ0;UNICOM;122.725;4500;75;ASPH;1;0
-133.273.954.163;42.276.507.735;38;8222;1CA1;small_airport;Belridge Strip;575;NA;US;US-CA;McKittrick;no;;;;CTAF;122.9;5600;85;ASPH-TRTD;1;0
-116.661.240.049;4.890.294.943;39;8233;1CD2;small_airport;Tonga Airport;4925;NA;US;US-CO;Platteville;no;1CD2;;1CD2;DENVER APP;119.3;3000;24;ASPH;0;0
-90.535.031.317;37.160.688.586;40;8297;1GA0;small_airport;Eagle Neck Airport;10;NA;US;US-GA;Shellman Bluff;no;1GA0;;1GA0;UNICOM;122.725;3744;41;ASPH;1;0
-127.886.458.163;42.054.816.763;41;8402;1L4;small_airport;Kidwell Airport;2605;NA;US;US-NV;Cal Nev Ari;no;K1L4;;1L4;Kidwell traffic;122.9;4140;65;DIRT-F;1;0
-98.605.915.502;38.873.562.018;42;8486;1MS8;small_airport;Columbus Air Force Base Auxiliary Field (Gunshy);260;NA;US;US-MS;Shuqualak;no;1MS8;;1MS8;MERIDIAN APP;31.48;6300;150;ASPH-CONC;0;0
-135.658.382.494;60.338.819.871;43;8732;1WA6;small_airport;Fall City Airport;140;NA;US;US-WA;Fall City;no;1WA6;;1WA6;Fall City Traffic;122.9;3000;25;ASPH-TURF;0;0
-111.737.750.403;34.565.684.069;44;8769;1XS8;small_airport;Pinon Ranch Airport;1640;NA;US;US-TX;Brackettville;no;1XS8;;1XS8;HOUSTON CNTR;126.625;4500;50;ASPH;0;0
-94.493.212.417;39.961.526.336;45;8787;20GA;small_airport;Earl L. Small Jr. Field/Stockmar Airport;1110;NA;US;US-GA;Villa Rica;no;20GA;;20GA;MULT;122.9;4500;50;ASPH;1;0
-108.722.021.908;36.813.759.827;46;8924;22XS;small_airport;Longhorn Auxiliary Landing Strip;720;NA;US;US-TX;Fort Hood;no;22XS;;22XS;TWR;143.35;3488;75;ASPH;0;0
-10.872.894.264;36.796.855.564;47;8982;23XS;small_airport;Shorthorn Auxiliary Landing Strip;720;NA;US;US-TX;Fort Hood;no;23XS;;23XS;LONGHORN AUX TWR;143.35;2200;50;ASPH;0;0
-133.072.868.862;43.127.979.643;48;8990;24CL;small_airport;Boswell Airport;205;NA;US;US-CA;Corcoran;no;24CL;;24CL;CTAF;122.9;7000;80;ASPH;0;0
-8.873.473.424;42.502.007.751;49;9068;25NC;small_airport;Smith Air Strip;560;NA;US;US-NC;Asheboro;no;25NC;;25NC;MULTICOM;122.9;3100;60;TURF-G;1;0
-105.717.225.651;34.825.634.577;50;9078;25TA;small_airport;Ferris Airport;35;NA;US;US-TX;Baytown;no;25TA;;25TA;HOUSTON CNTR;126.625;3600;75;CONC;0;0
-114.010.604.974;43.136.089.473;51;9080;25TS;small_airport;Miller Airfield;3961;NA;US;US-TX;Dalhart;no;25TS;;25TS;ALBUQUERQUE CNTR;132.65;6500;75;CONC-P;0;0
-125.977.813.136;40.179.679.087;52;9138;27AZ;small_airport;Eagle Roost Airpark;2206;NA;US;US-AZ;Aguila;no;27AZ;;27AZ;CTAF;122.9;3906;40;ASPH;1;0
-131.031.946.223;41.680.264.732;53;9191;28CL;closed;Borax Heliport;2400;NA;US;US-CA;Boron;no;;;;CTAF;122.8;60;60;ASPH;0;0
