no,provinsi,kabupaten,bulan,tahun,jenis_kendaraan,jumlah
1,Jawa Timur,Probolinggo,april,2024,Mobil Penumpang umum,
2,Jawa Timur,Probolinggo,april,2024,Mobil penumpang bukan umum,
3,Jawa Timur,Probolinggo,april,2024,Mobil bis umum,5
4,Jawa Timur,Probolinggo,april,2024,Mobil bis bukan umum,13
5,Jawa Timur,Probolinggo,april,2024,Mobil barang umum,52
6,Jawa Timur,Probolinggo,april,2024,Mobil barang bukan umum,266
7,Jawa Timur,Probolinggo,april,2024,Kendaraan khusus umum,
8,Jawa Timur,Probolinggo,april,2024,Kendaraan khusus bukan umum,
9,Jawa Timur,Probolinggo,april,2024,Kereta gandeng umum,
10,Jawa Timur,Probolinggo,april,2024,Kereta gandeng bukan umum,1
11,Jawa Timur,Probolinggo,april,2024,Kereta tempel umum,1
12,Jawa Timur,Probolinggo,april,2024,Kereta Tempel bukan umum,
13,Jawa Timur,Probolinggo,april,2024,Roda dua,8439
14,Jawa Timur,Probolinggo,april,2024,Roda tiga,44
15,Jawa Timur,Probolinggo,april,2024,Roda empat,1220
