price;mileage;power;make_model;date;fuel;gear;offer_type;version;link
23990;150;218.0;Honda;Mar-20;Gasoline;Manual;Demonstration;CBR1000RR-R Fireblade SP;/offers/honda-others-cbr1000rr-r-fireblade-sp-gasoline-red-c867308b-8d2f-42bd-943a-eb278d5dbe2d
7500;2871;90.0;BMW F 800 GT;Sep-18;Gasoline;Manual;Used;;/offers/bmw-f-800-gt-gasoline-white-f65273c6-601b-7e55-e053-0100007f0a0f
800;1700;3.0;Nova Motors Retro Star;Okt-19;Gasoline;Manual;Used;;/offers/nova-motors-retro-star-gasoline-red-f8e797ba-ec6f-9427-e053-0100007f83cc
14990;24345;;Aprilia RSV4;Mar-16;Gasoline;Manual;Used;RF;/offers/aprilia-rsv4-rf-gasoline-silver-1b51fe03-90ac-4fbd-bbce-6b6e69a6106f
6200;25000;128.0;Kawasaki Ninja ZX-6R;Agu-09;Gasoline;Manual;Used;;/offers/kawasaki-ninja-zx-6r-gasoline-blue-2f8da7b1-3d19-465f-a6fd-5fa64c64edda
1500;3000;1.0;Aprilia Mojito 50;Jul-10;Gasoline;Manual;Used;;/offers/aprilia-mojito-50-gasoline-black-9283e0e0-2424-4dd0-8e24-68c9dc74e575
10500;1;71.0;Suzuki V-Strom 650;Des-21;Gasoline;Manual;Pre-registered;XT ABS DL 650 XT;/offers/suzuki-v-strom-650-xt-abs-dl-650-xt-gasoline-yellow-ab671b3d-5ffe-4083-8a54-bc2b7191c96b
8500;13000;105.0;Yamaha MT-09;Mei-18;Gasoline;Manual;Used;;/offers/yamaha-mt-09-gasoline-blue-ab3bb425-ad22-4d3e-9472-90255144fca6
2000;19000;15.0;Kymco Super Dink 125;Okt-16;Gasoline;Manual;Used;;/offers/kymco-super-dink-125-gasoline-grey-67c53fc4-1b92-d71f-e053-0100007f1efc
8250;6400;126.0;Yamaha MT-09;Jun-19;Gasoline;Manual;Used;;/offers/yamaha-mt-09-gasoline-grey-936ab0c6-480d-4165-e053-0100007f6df7
23600;2900;84.0;Harley-Davidson Sport Glide;Jun-19;Gasoline;Manual;Used;;/offers/harley-davidson-sport-glide-gasoline-black-94632abb-770f-1d6e-e053-0100007f0db9
12500;1750;126.0;Indian FTR 1200;Jul-19;Gasoline;Manual;Used;;/offers/indian-ftr-1200-gasoline-black-64e31ec7-2ea2-2028-e053-0100007f45fc
18000;700;41.0;Ural Ranger;Mar-21;Gasoline;Manual;Used;Euro4 2WD;/offers/ural-ranger-euro4-2wd-gasoline-black-ce674cc5-eb45-e408-e053-0100007fcab5
1150;14000;10.0;Kymco Agility 125;Mei-15;Gasoline;Automatic;Used;;/offers/kymco-agility-125-gasoline-black-9aebaf58-787b-4e65-a090-07dccc22c40f
10000;80000;125.0;Harley-Davidson Night Rod;Sep-10;Gasoline;Manual;Used;Night rod special;/offers/harley-davidson-night-rod-night-rod-special-gasoline-black-95dc7890-de65-4df8-b2cd-78187a8afd67
10000;15300;110.0;Ducati Hypermotard 939;Jul-18;Gasoline;Manual;Used;;/offers/ducati-hypermotard-939-gasoline-red-fc35a0c6-5231-c44d-e053-0100007fb6a4
12200;4178;110.0;BMW R nineT;Jun-18;Gasoline;Manual;Used;;/offers/bmw-r-ninet-gasoline-white-a306f0c3-f366-cd51-e053-0100007f3a34
12500;18000;82.0;Harley-Davidson Road King;Feb-96;Gasoline;Manual;Used;FLHR Road King;/offers/harley-davidson-road-king-flhr-road-king-gasoline-black-40f558ba-a6ad-4cc6-ad2e-b434e30e1c45
9490;10000;;Kawasaki Versys 650;Jan-19;;Manual;Used;GRAND TOURER;/offers/kawasaki-versys-650-grand-tourer-black-0979e668-f61d-446e-94c6-38beb6c10a0d
9490;12600;61.0;BMW R 1200 C Montauk;Jan-04;Gasoline;Manual;Used;;/offers/bmw-r-1200-c-montauk-gasoline-silver-8887fc9e-e7d5-4016-b925-2e0e60b28835
10000;49500;64.0;Harley-Davidson Softail;Mei-04;Gasoline;Manual;Used;;/offers/harley-davidson-softail-gasoline-blue-5b6d9bc5-ece5-3e75-e053-0100007f2c54
9999;0;;Yamaha;Jan-21;;Automatic;New;TRACER 7;/offers/yamaha-others-tracer-7-grey-6d7af473-3e07-44d3-999e-9bb118d39c6d
10950;10551;185.0;Suzuki;Mei-15;Gasoline;Manual;Used;Sport GSX R 1000, ABS, Complete titanium Yoshimura;/offers/suzuki-others-sport-gsx-r-1000-abs-complete-titanium-yoshimura-gasoline-blue-e489ad1d-e9de-44e9-a02c-f5a7800e161e
16690;0;;BMW R nineT;Jan-19;;Manual;New;Pure;/offers/bmw-r-ninet-pure-white-f695d424-cf0b-4620-8b8e-fbf340c76812
1100;60;;Others;Sep-18;;Automatic;Used;E-Mover 800W Metallkorb/Kofferraum/Spiegel;/offers/others-others-e-mover-800w-metallkorb-kofferraum-spiegel-red-abb4c5ae-91e4-4914-8a3a-eca09e64a452
8000;5200;68.0;Peugeot Metropolis;Mar-16;Gasoline;Automatic;Used;400;/offers/peugeot-metropolis-400-gasoline-red-854c0b5f-4633-a57c-e053-e350040a848c
6590;27630;68.0;Triumph Bonneville T100;Jun-09;;Manual;Used;Black;/offers/triumph-bonneville-t100-black-black-423cfc1f-31e3-4fd1-bff7-b864ec4b2465
7000;8470;61.0;Kawasaki Vulcan S;Jul-19;Gasoline;Manual;Used;;/offers/kawasaki-vulcan-s-gasoline-orange-27fd18c7-ee6b-a875-e053-0100007f7184
7650;14500;131.0;Triumph Speed Triple 1050;Mar-10;Gasoline;Manual;Used;;/offers/triumph-speed-triple-1050-gasoline-white-d47454c4-d022-2e53-e053-0100007ff30b
8300;52000;57.0;Harley-Davidson Low Rider;Apr-89;Gasoline;Manual;Used;;/offers/harley-davidson-low-rider-gasoline-black-92c5e5bc-c485-fc48-e053-0100007f6e8e
